Tower Climb & Run--San Antonio 2015
2015-2-7
http://www.cff.org/Chapters/lonestar/index.cfm?id=25708&event=25708
150
19,Travis KLANN,,M,00:17:31.217,00:06:39.477,7:49 min/m,00:10:51.740,54.35 stair/min,
20,Garcia JOHNSON,,M,00:17:31.857,00:06:06.570,7:11 min/m,00:11:25.287,54.35 stair/min,
21,Bob ANDREASEN,,M,00:17:38.830,00:07:06.090,8:21 min/m,00:10:32.740,53.99 stair/min,
22,Sebastian MACIAS,,M,00:17:45.040,00:05:20.740,6:17 min/m,00:12:24.300,53.63 stair/min,
23,Ryan BEAUCHAMP,,M,00:17:45.377,00:06:22.510,7:30 min/m,00:11:22.867,53.63 stair/min,
24,Michael SIERLEJA,,M,00:17:45.803,00:07:08.810,8:24 min/m,00:10:36.993,53.63 stair/min,
25,Abel CAMPOS,,M,00:18:01.030,00:07:07.550,8:23 min/m,00:10:53.480,52.84 stair/min,
26,Steve JOHNSON,,M,00:18:04.713,00:07:12.463,8:28 min/m,00:10:52.250,52.69 stair/min,
27,George DAGGETT,,M,00:18:05.187,00:05:51.557,6:53 min/m,00:12:13.630,52.65 stair/min,
28,Ben KOEHLER,,M,00:18:06.103,00:07:24.133,8:42 min/m,00:10:41.970,52.60 stair/min,
29,Eric THOMAS,,M,00:18:13.873,00:07:06.497,8:21 min/m,00:11:07.377,52.26 stair/min,
30,Thomas ANDREWS,,M,00:18:17.607,00:05:41.313,6:41 min/m,00:12:36.293,52.07 stair/min,
31,Buck MEJORADO,,M,00:18:22.493,00:06:32.323,7:41 min/m,00:11:50.170,51.83 stair/min,
32,Mark CHACON,,M,00:18:26.787,00:06:32.567,7:41 min/m,00:11:54.220,51.65 stair/min,
33,Ernie VALDEZ,,M,00:18:27.013,00:06:52.360,8:05 min/m,00:11:34.653,51.60 stair/min,
34,Aaron ZIMMERLE,,M,00:18:30.433,00:06:39.310,7:49 min/m,00:11:51.123,51.46 stair/min,
35,Joshua WELLS,,M,00:18:31.583,00:05:42.560,6:43 min/m,00:12:49.023,51.41 stair/min,
36,Benjamin HERRING,,M,00:18:32.910,00:05:34.027,6:32 min/m,00:12:58.883,51.37 stair/min,
37,Scott STEWART,,M,00:18:43.043,00:06:16.597,7:23 min/m,00:12:26.447,50.86 stair/min,
38,Alvaro FERREL,,M,00:18:43.967,00:06:04.233,7:08 min/m,00:12:39.733,50.86 stair/min,
39,Michael WALLER,,M,00:18:45.027,00:06:25.437,7:33 min/m,00:12:19.590,50.77 stair/min,
40,Josue GUAJARDO,,M,00:18:46.877,00:06:45.853,7:57 min/m,00:12:01.023,50.73 stair/min,
41,Julio MATA,,M,00:18:50.193,00:07:19.430,8:36 min/m,00:11:30.763,50.55 stair/min,
42,Melissa WILLIAMS,,M,00:18:50.787,00:07:35.617,8:56 min/m,00:11:15.170,50.55 stair/min,
43,Raul CARRILLO,,M,00:18:51.060,00:06:53.927,8:06 min/m,00:11:57.133,50.50 stair/min,
44,Cody PORTER,,M,00:18:51.533,00:06:33.717,7:43 min/m,00:12:17.817,50.50 stair/min,
45,Kyle BURKHOLDER,,M,00:18:51.697,00:07:00.367,8:14 min/m,00:11:51.330,50.50 stair/min,
46,Albert GARCIA,,M,00:18:54.900,00:07:41.937,9:03 min/m,00:11:12.963,50.37 stair/min,
47,David RUIZ,,M,00:18:55.877,00:06:49.317,8:01 min/m,00:12:06.560,50.33 stair/min,
48,Rick LEAL,,M,00:19:02.433,00:07:19.040,8:36 min/m,00:11:43.393,50.02 stair/min,
49,David FLORES,,M,00:19:04.447,00:06:41.573,7:52 min/m,00:12:22.873,49.93 stair/min,
50,Javier SANCHEZ,,M,00:19:04.767,00:06:53.387,8:06 min/m,00:12:11.380,49.93 stair/min,
51,Luis LACERNA,,M,00:19:05.257,00:06:37.217,7:47 min/m,00:12:28.040,49.89 stair/min,
52,Monica SANCHEZ,,M,00:19:12.700,00:07:59.033,9:23 min/m,00:11:13.667,49.58 stair/min,
53,Miguel BAEZ,,M,00:19:16.333,00:07:33.907,8:54 min/m,00:11:42.427,49.41 stair/min,
54,Hipolito RODRIGUEZ,,M,00:19:21.377,00:05:33.140,6:31 min/m,00:13:48.237,49.20 stair/min,
55,Daniel DIAZ,,M,00:19:24.327,00:07:42.100,9:03 min/m,00:11:42.227,49.07 stair/min,
56,Jesse MEDINA,,M,00:19:24.333,00:07:43.453,9:05 min/m,00:11:40.880,49.07 stair/min,
57,David MOORE,,M,00:19:25.507,00:06:55.987,8:09 min/m,00:12:29.520,49.03 stair/min,
1,Tanner MONTGOMERY,,M,00:19:28.743,00:07:28.817,8:48 min/m,00:11:59.927,48.90 stair/min,
2,Robert ELLIOTT,,M,00:19:29.870,00:06:28.263,7:36 min/m,00:13:01.607,48.86 stair/min,
3,Carlos VALDEZ,,M,00:19:32.433,00:08:03.467,9:28 min/m,00:11:28.967,48.74 stair/min,
4,Ed STYSLINGER,,M,00:19:33.180,00:07:39.303,9:00 min/m,00:11:53.877,48.70 stair/min,
5,Hector A TROCHE,,M,00:19:43.617,00:08:11.640,9:38 min/m,00:11:31.977,48.28 stair/min,
6,John FREDLAND,,M,00:19:46.843,00:07:39.993,9:01 min/m,00:12:06.850,48.16 stair/min,
7,Timothy SKOGG,,M,00:20:02.357,00:06:53.437,8:06 min/m,00:13:08.920,47.52 stair/min,
8,Jason VALDEZ,,M,00:20:04.127,00:07:21.493,8:39 min/m,00:12:42.633,47.44 stair/min,
9,Brett HAYES,,M,00:20:04.490,00:07:50.267,9:13 min/m,00:12:14.223,47.44 stair/min,
10,Reynaldo LOPEZ,,M,00:20:06.210,00:07:24.000,8:42 min/m,00:12:42.210,47.36 stair/min,
11,Chris SCHMIDT,,M,00:20:14.730,00:06:48.713,8:00 min/m,00:13:26.017,47.05 stair/min,
12,Arthur OVALLE,,M,00:20:21.743,00:08:31.610,10:01 min/m,00:11:50.133,46.78 stair/min,
13,Karl GILBERT,,M,00:20:25.700,00:07:30.083,8:49 min/m,00:12:55.617,46.63 stair/min,
14,Fabian GONZALEZ,,M,00:20:27.810,00:06:14.310,7:20 min/m,00:14:13.500,46.55 stair/min,
15,John MCALLEN,,M,00:20:46.700,00:07:09.273,8:25 min/m,00:13:37.427,45.84 stair/min,
16,Don HENLEY,,M,00:20:55.060,00:07:16.623,8:33 min/m,00:13:38.437,45.51 stair/min,
17,Brandon CROWDER,,M,00:21:05.777,00:09:05.210,10:41 min/m,00:12:00.567,45.15 stair/min,
18,Joel GOMEZ,,M,00:21:06.430,00:07:59.297,9:23 min/m,00:13:07.133,45.12 stair/min,
19,Jonathan GARCIA,,M,00:21:15.030,00:06:39.767,7:50 min/m,00:14:35.263,44.80 stair/min,
20,Jesus PEREZ,,M,00:21:19.980,00:07:39.627,9:00 min/m,00:13:40.353,44.66 stair/min,
21,Gary WHITNEY,,M,00:21:22.450,00:07:16.170,8:33 min/m,00:14:06.280,44.56 stair/min,
22,Bryan ECKERT,,M,00:21:28.653,00:08:01.570,9:26 min/m,00:13:27.083,44.35 stair/min,
23,Alfred PATINO,,M,00:21:31.313,00:07:45.220,9:07 min/m,00:13:46.093,44.24 stair/min,
24,Patrick CHRISTILLES,,M,00:21:42.450,00:08:47.923,10:21 min/m,00:12:54.527,43.87 stair/min,
25,Christopher RAMIREZ,,M,00:21:43.490,00:08:46.533,10:19 min/m,00:12:56.957,43.84 stair/min,
26,Peter RAY,,M,00:21:44.683,00:08:45.797,10:18 min/m,00:12:58.887,43.80 stair/min,
27,Lawrence BROWN,,M,00:21:49.097,00:07:24.317,8:42 min/m,00:14:24.780,43.64 stair/min,
28,Jim LOVE,,M,00:21:53.730,00:09:40.393,11:22 min/m,00:12:13.337,43.50 stair/min,
29,Kevin KIRK,,M,00:21:56.927,00:07:59.583,9:24 min/m,00:13:57.343,43.40 stair/min,
30,Victor ALEJANDRO,,M,00:22:04.580,00:07:32.440,8:52 min/m,00:14:32.140,43.14 stair/min,
31,Roger HOWERTON,,M,00:22:04.957,00:07:24.563,8:43 min/m,00:14:40.393,43.14 stair/min,
32,Greg STRIKER,,M,00:22:09.250,00:08:38.400,10:09 min/m,00:13:30.850,42.98 stair/min,
33,Ray GUTIERREZ,,M,00:22:29.113,00:06:43.300,7:54 min/m,00:15:45.813,42.34 stair/min,
34,Hugo VALLADOLID,,M,00:22:32.063,00:07:54.637,9:18 min/m,00:14:37.427,42.25 stair/min,
35,Tori VINCENT,,M,00:22:41.603,00:07:57.040,9:21 min/m,00:14:44.563,41.97 stair/min,
36,Erin Ashley GOMEZ,,M,00:22:44.047,00:08:18.437,9:46 min/m,00:14:25.610,41.88 stair/min,
37,Audrey SKOGG,,M,00:22:46.340,00:08:46.410,10:19 min/m,00:13:59.930,41.82 stair/min,
38,Jose G. FLORES,,M,00:22:56.670,00:07:41.560,9:03 min/m,00:15:15.110,41.51 stair/min,
39,Robert CARRANCO,,M,00:22:57.590,00:07:53.763,9:17 min/m,00:15:03.827,41.48 stair/min,
40,Joe SIMPSON,,M,00:23:19.733,00:09:15.380,10:53 min/m,00:14:04.353,40.83 stair/min,
41,Victor DELAVEGA,,M,00:23:43.207,00:07:46.237,9:08 min/m,00:15:56.970,40.14 stair/min,
42,Gary MENCHACA,,M,00:23:45.337,00:06:26.600,7:34 min/m,00:17:18.737,40.08 stair/min,
43,Brian LANG,,M,00:23:48.810,00:08:35.540,10:06 min/m,00:15:13.270,40.00 stair/min,
44,Richard LASKOWSKI,,M,00:23:51.227,00:08:33.090,10:03 min/m,00:15:18.137,39.92 stair/min,
45,Alden GORNALL,,M,00:23:51.440,00:09:19.687,10:58 min/m,00:14:31.753,39.92 stair/min,
46,Kevin JACOBS,,M,00:23:51.463,00:09:18.547,10:57 min/m,00:14:32.917,39.92 stair/min,
47,Teri ROCHA,,M,00:23:56.313,00:06:57.133,8:10 min/m,00:16:59.180,39.78 stair/min,
48,Roberto TREVINO,,M,00:24:09.957,00:08:17.237,9:44 min/m,00:15:52.720,39.42 stair/min,
49,Michael MARTINEZ,,M,00:24:13.627,00:08:08.630,9:34 min/m,00:16:04.997,39.31 stair/min,
1,Edmund C CURRAN,,M,00:24:15.973,00:08:48.893,10:22 min/m,00:15:27.080,39.26 stair/min,
2,David ISAAC,,M,00:24:17.240,00:09:27.717,11:07 min/m,00:14:49.523,39.20 stair/min,
3,Fred LANGHAM,,M,00:24:17.293,00:09:57.580,11:43 min/m,00:14:19.713,39.20 stair/min,
4,Ted HATTORI,,M,00:24:24.997,00:08:47.107,10:20 min/m,00:15:37.890,39.02 stair/min,
5,Adrian ESTRADA,,M,00:24:27.453,00:09:42.277,11:25 min/m,00:14:45.177,38.94 stair/min,
6,Mark GRIFFIN,,M,00:24:27.917,00:08:38.043,10:09 min/m,00:15:49.873,38.94 stair/min,
7,Xavier ESCOBEDO,,M,00:24:33.600,00:08:07.027,9:32 min/m,00:16:26.573,38.78 stair/min,
8,Terry WATKINS,,M,00:24:37.167,00:09:16.300,10:54 min/m,00:15:20.867,38.67 stair/min,
9,Edward VONBERG,,M,00:24:53.670,00:06:27.020,7:35 min/m,00:18:26.650,38.26 stair/min,
10,George LUMBRERAS,,M,00:25:02.853,00:09:29.413,11:09 min/m,00:15:33.440,38.03 stair/min,
11,Mario RAMIREZ,,M,00:25:48.497,00:10:02.823,11:49 min/m,00:15:45.673,36.90 stair/min,
12,Ricardo SANCHEZ,,M,00:25:54.110,00:09:55.567,11:40 min/m,00:15:58.543,36.76 stair/min,
13,Daniel NEAL,,M,00:25:55.817,00:08:55.740,10:30 min/m,00:17:00.077,36.73 stair/min,
14,Art SARABIA,,M,00:25:56.950,00:08:40.007,10:11 min/m,00:17:16.943,36.71 stair/min,
15,Frank GARCIA,,M,00:26:24.447,00:09:22.137,11:01 min/m,00:17:02.310,36.06 stair/min,
16,Kurt GATES,,M,00:26:43.440,00:08:59.770,10:35 min/m,00:17:43.670,35.63 stair/min,
17,Craig DAVENPORT,,M,00:27:06.207,00:09:56.473,11:41 min/m,00:17:09.733,35.13 stair/min,
18,Ken RAYMIE,,M,00:28:15.647,00:08:36.297,10:07 min/m,00:19:39.350,33.70 stair/min,
19,Tom KARGER,,M,00:28:39.530,00:07:59.400,9:24 min/m,00:20:40.130,33.23 stair/min,
20,Donovan STEWART,,M,00:28:50.687,00:09:01.467,10:37 min/m,00:19:49.220,33.02 stair/min,
21,Richard MAGEE,,M,00:29:42.523,00:08:53.070,10:27 min/m,00:20:49.453,32.05 stair/min,
22,Christopher MARTINEZ,,M,00:30:01.200,00:09:09.380,10:46 min/m,00:20:51.820,31.72 stair/min,
23,Charles RICHARDSON,,M,00:30:22.883,00:09:40.857,11:23 min/m,00:20:42.027,31.35 stair/min,
24,Jeffery GOLDBERG,,M,00:30:36.757,00:10:38.610,12:31 min/m,00:19:58.147,31.11 stair/min,
25,Tony TRIPLETT,,M,00:32:48.573,00:09:21.667,11:00 min/m,00:23:26.907,29.02 stair/min,
26,Charles PIERCE,,M,00:33:25.643,00:10:43.240,12:36 min/m,00:22:42.403,28.49 stair/min,
27,Enrique G CABALLERO,,M,00:34:51.227,00:08:47.313,10:20 min/m,00:26:03.913,27.32 stair/min,
28,Simon GARCES,,M,00:35:12.367,00:11:37.320,13:40 min/m,00:23:35.047,27.05 stair/min,
29,Jose RAPALO,,M,00:37:04.213,00:12:57.640,15:14 min/m,00:24:06.573,25.68 stair/min,
30,Baldemar JAIME,,M,00:39:50.803, ,31:31 min/m,00:13:02.830,23.90 stair/min,
1,Jazmin RIOS,,M,00:40:42.130, ,33:58 min/m,00:11:49.603,23.39 stair/min,
