ALA climb new york 2014
2014-3-01

100
   533, Stuart Rieve,52,M,  11:15,  10/84,M-FIR,STAMFORD           CT,STAMFORD FIRE DEPARTMENT
   156, Jeff Herbst,28,M,  11:18,  11/33,M1929,NEW YORK           NY,LJC SPIRIT
   189, Kristin Wnuk,33,F,  11:21,   5/54,F3039,LONG ISLAND CITY   NY,
   125, Chris McGee,41,M,  11:24,  13/34,M4049,ALPHA              NJ,CLIMBFORAJ
   513, Anthony Minervino,43,M,  11:25,  11/84,M-FIR,WEST ORANGE        NJ,BLOOMFIELD FIRE DEPT
    27, Andrew Rafii,32,M,  11:27,  12/42,M3039,GREAT NECK         NY,TEAM VNO
   505, Scott Chappe,55,M,  11:35,  12/84,M-FIR,STATEN ISLAND      NY,FDNY RUNNING CLUB
   149, David Straus,34,M,  11:37,  13/42,M3039,NEW YORK           NY,SHOREGROUP
    35, Tyler Engel,24,M,  11:40,  12/33,M1929,LONG ISLAND CITY   NY,TEAM VNO
   532, James Tarzia,44,M,  11:42,  13/84,M-FIR,STAMFORD           CT,STAMFORD FIRE DEPARTMENT
   524, Billy Tamburri,44,M,  11:42,  14/84,M-FIR,BELLEVILLE         NJ,BELLEVILLE FIRE DEPT
   157, Brian Fong,34,M,  11:46,  14/42,M3039,MORRISTOWN         NJ,"FOREST LABORATORIES, INC."
   567, Brendan Lunny,30,M,  11:46,  15/84,M-FIR,BELLE HARBOR       NY,BC DENNIS CROSS EAGLE TEAM
   119, Nicole Bruno,27,F,  11:48,   1/64,F1929,NESCONSET          NY,CLIMBFORAJ
   308, Craig Dename,32,M,  11:49,  15/42,M3039,WANTAGH            NY,TEAM AIRRABITO
   293, Jessa Seremba,50,F,  11:50,   1/22,F5059,NUTLEY             NJ,
    33, Danielle Rothman,22,F,  11:51,   2/64,F1929,NEW YORK           NY,TEAM VNO
   575, Reginald Merritt,27,M,  11:54,  16/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   102, Andrew Luftig,34,M,  11:54,  16/42,M3039,NEW YORK           NY,SEILBACKS STEPPERS
   105, Jeffrey Greenspan,34,M,  11:57,  17/42,M3039,NEW YORK           NY,SEILBACKS STEPPERS
   246, Madisen Kegans,22,F,  11:58,   3/64,F1929,NEW YORK           NY,MARYMOUNT MANHATTAN COLLEGE CLIMBERS
   387, David Saintiche,20,M,  11:58,  13/33,M1929,HOLLIS             NY,
   160, Rachel Vesey,28,F,  12:00,   4/64,F1929,NEW YORK           NY,STAD SQUAD CLIPPERS
    20, Steve Theriot,54,M,  12:00,   3/12,M5059,SUMMIT             NJ,TEAM VNO
   507, Louis Venezia,36,M,  12:00,  17/84,M-FIR,WEST CALDWELL      NJ,BLOOMFIELD FIRE DEPT
   526, Ralph Castellano,57,M,  12:01,  18/84,M-FIR,EDISON             NJ,BELLEVILLE FIRE DEPT
   133, Bobby Shayka,36,M,  12:01,  18/42,M3039,WOODLAND PARK      NJ,TEAM ROSEMARY
   145, Anthony Porto,38,M,  12:03,  19/42,M3039,FAIRFIELD          CT,
    24, Carlos Gil,65,M,  12:03,   2/6,M60+,JAMAICA            NY,PUFF PUFF THE MAGIC DRAGONS
   198, Michelle Roth,48,F,  12:03,   4/35,F4049,BERKELEY HEIGHTS   NJ,TEAM BEYER
   175, Sherilyn Batista,30,F,  12:04,   6/54,F3039,STONY BROOK        NY,SICU LUNG &  THE BREATHLESS
   603, Mark Forland,27,M,  12:04,  19/84,M-FIR,?,BC DENNIS CROSS EAGLE TEAM
   307, Jaclyn Hannon,29,F,  12:05,   5/64,F1929,WANTAGH            NY,TEAM AIRRABITO
   159, Christina Sanchez,28,F,  12:08,   6/64,F1929,NEW YORK           NY,STAD SQUAD CLIPPERS
    65, Cynthia Chan,47,F,  12:10,   5/35,F4049,REGO PARK          NY,
   330, Frank Jr. Verona,12,M,  12:11,   2/8,M-18,HIGHLAND           NY,TEAM AIRRABITO
   347, Matthew Robisch,29,M,  12:12,  14/33,M1929,ASTORIA            NY,BARB'S BEASTS
   343, Jeff Cronin,42,M,  12:13,  14/34,M4049,HOBOKEN            NJ,CPA'S ON THE RISE
    14, Mark Bhasin,39,M,  12:13,  20/42,M3039,NEW YORK           NY,
   134, Bill Dolinsky,64,M,  12:13,   3/6,M60+,TOTOWA             NJ,TEAM ROSEMARY
   166, Scott Sweeney,45,M,  12:18,  15/34,M4049,TERRYVILLE         CT,
   529, Michael San Philip,31,M,  12:20,  20/84,M-FIR,WEST CALDWELL      NJ,BELLEVILLE FIRE DEPT
   553, Michael Gibbons,47,F,  12:22,   1/3,F-FIR,EAST HANOVER       NJ,NEWARK FIRE DEPARTMENT
    37, Jacqueline Malleo,26,F,  12:24,   7/64,F1929,HOBOKEN            NJ,TEAM VNO
   262, Gerry Fortilus,22,M,  12:24,  15/33,M1929,HOLLIS             NY,HEARTS2C46
   353, Jill Whitney,39,F,  12:27,   7/54,F3039,RIDGEWOOD          NJ,CHAPMAN AND CUTLER LLP
    67, Elliot Torres,37,M,  12:30,  21/42,M3039,JACKSON HEIGHTS    NY,
    28, Charles Doyle,50,M,  12:30,   4/12,M5059,CHESTER            NY,TEAM VNO
   191, Duncan Ndirangu,30,M,  12:34,  22/42,M3039,JERSEY CITY        NJ,
   342, Ralph Loggia,42,M,  12:34,  16/34,M4049,NEW YORK           NY,CPA'S ON THE RISE
   129, Helen Graneto,37,F,  12:35,   8/54,F3039,BAYVILLE           NY,STEP BY STEP CHARITABLE FOUNDATION
   365, Andre Brown,37,M,  12:36,  23/42,M3039,BRONX              NY,PEOPLE'S UNITED BANK
   601, Julio Medina,34,M,  12:37,  21/84,M-FIR,BELLEVILLE         NJ,NEWARK FIRE DEPARTMENT
   568, Anthony Frangella,31,M,  12:38,  22/84,M-FIR,OYSTER BAY         NY,
   535, Ryan Southard,25,M,  12:39,  23/84,M-FIR,?,STAMFORD FIRE DEPARTMENT
   600, Andy Vogel,40,M,  12:41,  24/84,M-FIR,ROSELAND           NJ,ROSELAND FIRE DEPARTMENT
   168, Christine Hanmer,42,F,  12:44,   6/35,F4049,HAUPPAUGE          NY,
   352, Nick Whitney,40,M,  12:45,  17/34,M4049,RIDGEWOOD          NJ,CHAPMAN AND CUTLER LLP
    64, Toni Knight,29,F,  12:46,   8/64,F1929,BRONX              NY,"UP, UP AND AWAY"
   525, George Pedalino,58,M,  12:47,  25/84,M-FIR,BELLEVILLE         NJ,BELLEVILLE FIRE DEPT
    49, Kyle Fricker,27,M,  12:48,  16/33,M1929,NEW YORK           NY,TEAM VNO
    34, Kaitlyn Kiernan,23,F,  12:50,   9/64,F1929,LEVITTOWN          NY,TEAM VNO
   306, Carol Hipkins,48,F,  12:50,   7/35,F4049,HOBOKEN            NJ,TEAM AIRRABITO
   345, Vy Bui,28,F,  12:51,  10/64,F1929,?,CPA'S ON THE RISE
   518, Brian Shephard,47,M,  12:52,  26/84,M-FIR,BLOOMFIELD         NJ,BLOOMFIELD FIRE DEPT
   385, Florence Afflu,51,F,  12:54,   2/22,F5059,EDISON             NJ,
   142, Jessie Hirsch,10,F,  12:55,   2/9,F-18,BELLEROSE          NY,TEAM HIRSCH
    40, Nina Libby,27,F,  12:58,  11/64,F1929,BROOKLYN           NY,TEAM VNO
    19, Reynaldo Tariche,48,M,  13:01,  18/34,M4049,NY                 NY,TEAM VNO
    57, Sandra Perez,49,F,  13:03,   8/35,F4049,BRONX              NY,"UP, UP AND AWAY"
    25, John Palacz,43,M,  13:04,  19/34,M4049,ELYSBURG           PA,PUFF PUFF THE MAGIC DRAGONS
   141, Jeremy Hirsch,15,M,  13:04,   3/8,M-18,BELLEROSE          NY,TEAM HIRSCH
   528, Rich D'Amico,33,M,  13:05,  27/84,M-FIR,BELLEVILLE         NJ,BELLEVILLE FIRE DEPT
   576, Ed Pinto,36,M,  13:07,  28/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   118, Danielle Gruttadauri,32,F,  13:09,   9/54,F3039,MANORVILLE         NY,CLIMBFORAJ
   167, Karim Immanuel,51,M,  13:10,   5/12,M5059,PISCATAWAY         NJ,
   350, Caitlin Robisch,29,F,  13:10,  12/64,F1929,BROOKLYN           NY,BARB'S BEASTS
   178, Jesus Ocasio,31,M,  13:10,  24/42,M3039,STONY BROOK        NY,SICU LUNG &  THE BREATHLESS
    88, Stacy Ferrara,38,F,  13:15,  10/54,F3039,NEW YORK           NY,JERRY & CHARLIE'S ANGELS
   170, Courtney De Thomas,33,F,  13:17,  11/54,F3039,BRONX              NY,
    99, Amy Soman Zambrana,37,F,  13:18,  12/54,F3039,WEST BABYLON       NY,SEILBACKS STEPPERS
    32, Daniel Sherman,30,M,  13:18,  25/42,M3039,NEW YORK           NY,TEAM VNO
   163, Ed Coyle,49,M,  13:19,  20/34,M4049,BROOKLYN           NY,STAD SQUAD CLIPPERS
    54, Steve McGoff,45,M,  13:26,  21/34,M4049,ASTORIA            NY,THE MISFITS
   334, Reuben Weisfeld,24,M,  13:29,  17/33,M1929,NEW YORK           NY,TEAM AIRRABITO
   362, Sheldon Burg,34,M,  13:29,  26/42,M3039,NEW YORK           NY,PEOPLE'S UNITED BANK
    76, Kathrin Lewis,19,F,  13:31,  13/64,F1929,NEW YORK           NY,FIT CLIMBERS
   564, Andrew Eckstein,34,M,  13:31,  29/84,M-FIR,BABYLON            NY,BC DENNIS CROSS EAGLE TEAM
   516, Daren McCoy,46,M,  13:32,  30/84,M-FIR,HEWITT             NJ,BLOOMFIELD FIRE DEPT
   377, Andrew Shepard,16,M,  13:33,   4/8,M-18,ISLIP TERRACE      NY,BC DENNIS CROSS EAGLE TEAM (NFF)
   386, Dewsingh Bright,50,M,  13:36,   6/12,M5059,EDISON             NJ,
    58, Dwayne Wapples,41,M,  13:41,  22/34,M4049,BRONX              NY,"UP, UP AND AWAY"
   174, Denise Garcia,48,F,  13:44,   9/35,F4049,STONY BROOK        NY,SICU LUNG &  THE BREATHLESS
    60, Keith Llewellyn,44,M,  13:45,  23/34,M4049,YONKERS            NY,"UP, UP AND AWAY"
   389, William Putillo,55,M,  13:47,   7/12,M5059,MIDDLE VILLAGE     NY,
   112, Nelson Maldonado,35,M,  13:47,  27/42,M3039,NEW YORK           NY,SUPREME TEAM BOXING
    68, Richard Ostroff,61,M,  13:47,   4/6,M60+,NEW YORK           NY,FIT CLIMBERS
   396, Elizabethann Molina,11,F,  13:48,   3/9,F-18,CROTON FALLS       NY,
   155, Sheryl Carrozza,28,F,  13:49,  14/64,F1929,HOBOKEN            NJ,ANNAC
   360, Francisco Tee,64,M,  13:50,   5/6,M60+,JERSEY CITY        NJ,
   158, Chelsea Cousins,28,F,  13:50,  15/64,F1929,BROOKLYN           NY,
   554, Aurelio Jimenez,41,M,  13:50,  31/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPARTMENT
   364, Desilu Smithen,39,M,  13:50,  28/42,M3039,BRONX              NY,PEOPLE'S UNITED BANK
   123, Vanessa Gruttadaurio,34,F,  13:52,  13/54,F3039,GREAT NECK         NY,CLIMBFORAJ
   234, Mitch Pearson,28,M,  14:03,  18/33,M1929,OCEANSIDE          NY,COLD SPRING HILLS HAS POSITIVE ALTITUDE
   162, Hector Perez,43,M,  14:03,  24/34,M4049,CHESTNUT RIDGE     NY,STAD SQUAD CLIPPERS
   375, Laura Cross,45,F,  14:09,  10/35,F4049,ISLIP TERRACE      NY,BC DENNIS CROSS EAGLE TEAM (NFF)
   173, Jacob Van Der Veen,23,M,  14:13,  19/33,M1929,NEW YORK           NY,
   179, Ronn Callada,27,M,  14:15,  20/33,M1929,STONY BROOK        NY,SICU LUNG &  THE BREATHLESS
   261, Jenelle Dyer,27,F,  14:16,  16/64,F1929,ROSEDALE           NY,HEARTS2C46
   154, Carol Carrozza,54,F,  14:17,   3/22,F5059,TOMS RIVER         NJ,ANNAC
   581, Melquisedec Valera,36,M,  14:18,  32/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPARTMENT
   348, Cindy Kim,29,F,  14:21,  17/64,F1929,ASTORIA            NY,BARB'S BEASTS
   205, Arjun Prakash,23,M,  14:23,  21/33,M1929,NEW YORK           NY,TEAM PHYL
   602, Alexandra Califf,27,F,  14:26,  18/64,F1929,ROSELLE PARK       NJ,NJ HEAVY BREATHERS
    72, Samara Ostroff,22,F,  14:31,  19/64,F1929,NEW YORK           NY,FIT CLIMBERS
   391, Richard Hoag,56,M,  14:33,   8/12,M5059,POMPANO BEACH      FL,
   217, Eric Wolfe,39,M,  14:36,  29/42,M3039,JAMAICA            NY,TEAM TRIPLEEE
   587, Paul Jesus,37,M,  14:38,  33/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   371, Yackjaiva Estevez,36,F,  14:40,  14/54,F3039,NEW YORK           NY,UNITED FOOT FIRE
   273, Ivana Toledo,23,F,  14:45,  20/64,F1929,MOUNT KISCO        NY,ELBA'S WARRIORS
   358, Bekim Nebija,34,M,  14:50,  30/42,M3039,JACKSON HEIGHTS    NY,MORGAN STANLEY
   220, Michele Brenner,48,F,  14:51,  11/35,F4049,MANASQUAN          NJ,
   383, Jamie Rehus,16,F,  14:51,   4/9,F-18,MORRIS PLAINS      NJ,BLOOMFIELD FIRE DEPT (NFF)
   206, Jeannine Englert,29,F,  14:51,  21/64,F1929,HARRISON           NY,TEAM GLO
   316, Joanne Kramer,53,F,  15:02,   4/22,F5059,BAYSIDE            NY,TEAM AIRRABITO
   146, Denise Shephard,46,F,  15:05,  12/35,F4049,BLOOMFIELD         NJ,
   208, Karey Arcara,31,F,  15:09,  15/54,F3039,HARRISON           NY,TEAM GLO
   202, Samantha Kelly,23,F,  15:20,  22/64,F1929,NEW YORK           NY,TEAM PHYL
   344, Frances Valenzuela,,,  15:21,,,FAIR LAWN          NJ,CPA'S ON THE RISE
   116, Tjhasna Gossett,25,F,  15:23,  23/64,F1929,NEW YORK           NY,SUPREME TEAM BOXING
    44, The-Uyen Truong,31,F,  15:23,  16/54,F3039,NEW YORK           NY,TEAM VNO
    89, Ryan Daughton,30,M,  15:25,  31/42,M3039,HAMILTON           NJ,NJ HEAVY BREATHERS (NFF)
   361, Michael Albarella,28,M,  15:30,  22/33,M1929,FLORAL PARK        NY,PEOPLE'S UNITED BANK
   199, Susan Lennon,57,F,  15:32,   5/22,F5059,CORNWALL           NY,TEAM PHYL
   580, John Clark,31,M,  15:32,  34/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   321, Caitlin Perfetti,26,F,  15:33,  24/64,F1929,EASTON             PA,TEAM AIRRABITO
   527, Rev. Anthony Siriann,54,M,  15:34,  35/84,M-FIR,EDISON             NJ,BELLEVILLE FIRE DEPT
   130, Laura Bonade,41,F,  15:35,  13/35,F4049,BETHPAGE           NY,STEP BY STEP CHARITABLE FOUNDATION
   106, Matthew Scher,24,M,  15:36,  23/33,M1929,LIVINGSTON         NJ,LMIC
   117, Batel Blechter,25,F,  15:38,  25/64,F1929,NEW YORK           NY,SUPREME TEAM BOXING
   595, Rich Loveless,52,M,  15:45,  36/84,M-FIR,ROSELAND           NJ,ROSELAND FIRE DEPARTMENT
   200, Marianne Zacharia,59,F,  15:48,   6/22,F5059,EAST NORTHPORT     NY,TEAM PHYL
   151, Lynette Perrone,43,F,  15:54,  14/35,F4049,CEDAR GROVE        NJ,SHOREGROUP
   506, David Kruysman,44,M,  15:56,  37/84,M-FIR,WANTAGH            NY,FDNY RUNNING CLUB
   131, Donna Morandi,38,F,  15:58,  17/54,F3039,LEVITTOWN          NY,STEP BY STEP CHARITABLE FOUNDATION
    47, Naser Gjeloshi,46,M,  16:08,  25/34,M4049,JACKSON            NJ,TEAM VNO
    51, Adriana Gjeloshi,16,F,  16:08,   5/9,F-18,JACKSON            NJ,TEAM VNO
   181, Kim Dvorznak,41,F,  16:09,  15/35,F4049,STONY BROOK        NY,SICU LUNG &  THE BREATHLESS
   589, Luis Leitao,36,M,  16:10,  38/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   221, Ilene Moskowitz,62,F,  16:11,   1/3,F60+,NEW YORK           NY,
    50, Adelina Gjeloshi,17,F,  16:11,   6/9,F-18,JACKSON            NJ,TEAM VNO
   150, Chuck Colaiacovo,53,M,  16:15,   9/12,M5059,CEDAR GROVE        NJ,SHOREGROUP
   583, Brett Yskamp,22,M,  16:15,  39/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPARTMENT
    77, Caitlyn Hansen,19,F,  16:18,  26/64,F1929,HAUPPAUGE          NY,FIT CLIMBERS
    39, Jeffrey Khadavi,32,M,  16:19,  32/42,M3039,NEW YORK           NY,TEAM VNO
   161, Vanessa Resende,30,F,  16:22,  18/54,F3039,UNION              NJ,STAD SQUAD CLIPPERS
   108, Lu Han,27,F,  16:23,  27/64,F1929,LONG ISLAND CITY   NY,LMIC
   171, Arjun Meda,28,M,  16:24,  24/33,M1929,NEW PROVIDENCE     NJ,
   566, Michael Carroll,30,M,  16:27,  40/84,M-FIR,STATEN ISLAND      NY,BC DENNIS CROSS EAGLE TEAM
   182, Sharon Dittrich,42,F,  16:28,  16/35,F4049,MINEOLA            NY,
   137, Jordan Pallister,10,F,  16:31,   7/9,F-18,NEW YORK           NY,TEAM PALLISTER
   136, Thomas Pallister,54,M,  16:32,  10/12,M5059,NEW YORK           NY,TEAM PALLISTER
   545, John Fowler,36,M,  16:35,  41/84,M-FIR,MONTCLAIR          NJ,MONTCLAIR FMBA LOCAL 20
   128, Patti Happel,40,F,  16:38,  17/35,F4049,MASSAPEQUA         NY,STEP BY STEP CHARITABLE FOUNDATION
   540, Justin Thompson,31,M,  16:38,  42/84,M-FIR,MONTCLAIR          NJ,MONTCLAIR FMBA LOCAL 20
   544, Gregory Miller,26,M,  16:41,  43/84,M-FIR,MONTCLAIR          NJ,MONTCLAIR FMBA LOCAL 20
   574, Jon Blair,22,M,  16:42,  44/84,M-FIR,FAIR LAWN          NJ,FAIR LAWN RESCUE
    61, Silviana Penrose,57,F,  16:43,   7/22,F5059,BRONX              NY,"UP, UP AND AWAY"
   185, Ashish Patel,36,M,  16:44,  33/42,M3039,WHITESTONE         NY,COOKIES AND MILK
   374, Jessica Frangella,34,F,  16:46,  19/54,F3039,OYSTER BAY         NY,
   536, Troy Powell,42,M,  16:49,  45/84,M-FIR,WEST CALDWELL      NJ,MONTCLAIR FMBA LOCAL 20
    79, Trista Williams,22,F,  16:49,  28/64,F1929,AUBURN             NY,FIT CLIMBERS
   569, Michael Pandora,54,M,  16:56,  46/84,M-FIR,GRANBY             MA,FAIR LAWN RESCUE
   209, Frank Arcara,30,M,  17:00,  34/42,M3039,HARRISON           NY,TEAM GLO
   270, Franklin Garcia,21,M,  17:01,  25/33,M1929,PEEKSKILL          NY,ELBA'S WARRIORS
   286, Sharon A Close,37,F,  17:05,  20/54,F3039,BETHPAGE           NY,TEAM VENTILHATAS
    85, Katie Schickert,34,F,  17:13,  21/54,F3039,NEW YORK           NY,JERRY & CHARLIE'S ANGELS
   585, Zahkee Barnette,35,M,  17:18,  47/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   582, Dimitri Charles,38,M,  17:22,  48/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   135, Kristen Dolinsky,36,F,  17:24,  22/54,F3039,TOTOWA             NJ,TEAM ROSEMARY
   397, Lola Molima, 7,F,  17:24,   8/9,F-18,CROTON FALLS       NY,
   546, Robert Piparo,35,M,  17:27,  49/84,M-FIR,NEW BRUNSWICK      NJ,NEW BRUNSWICK FIRE DEPARTMENT
   511, Joe Critchley,27,M,  17:28,  50/84,M-FIR,BLOOMFIELD         NJ,BLOOMFIELD FIRE DEPT
   318, Helena Lynch,52,F,  17:29,   8/22,F5059,SEAFORD            NY,TEAM AIRRABITO
   341, Ron Cruz,29,M,  17:30,  26/33,M1929,EAST MEADOW        NY,CPA'S ON THE RISE
   279, Allison Wortman,26,F,  17:30,  29/64,F1929,NEW YORK           NY,
   290, Thomas D'Amico,26,M,  17:30,  27/33,M1929,LINDENHURST        NY,TEAM VENTILHATAS
   598, Matt Popola,25,M,  17:34,  51/84,M-FIR,ROSELAND           NJ,ROSELAND FIRE DEPARTMENT
   327, Adriana Massa,37,F,  17:36,  23/54,F3039,LITTLE FALLS       NJ,TEAM AIRRABITO
   216, Kristy Millette,33,F,  17:36,  24/54,F3039,MIDLOTHIAN         VA,TEAM GLO
   140, Elizabeth Hirsch,43,F,  17:38,  18/35,F4049,BELLEROSE          NY,TEAM HIRSCH
   530, Erik Abrahamson,43,M,  17:44,  52/84,M-FIR,RIDGEFIELD         CT,STAMFORD FIRE DEPARTMENT
   311, Angela Selnick,36,F,  17:46,  25/54,F3039,UNION              NJ,TEAM AIRRABITO
   231, Michael Moreo,44,M,  17:50,  26/34,M4049,EAST ROCKAWAY      NY,COLD SPRING HILLS HAS POSITIVE ALTITUDE
   183, Eddie Christian,42,M,  17:52,  27/34,M4049,MINEOLA            NY,
   288, Mitchell Barnett,29,M,  17:52,  28/33,M1929,LINDENHURST        NY,TEAM VENTILHATAS
   565, John McEneaney,32,M,  17:59,  53/84,M-FIR,HOWARD BEACH       NY,BC DENNIS CROSS EAGLE TEAM
    73, Lauren Curley,21,F,  18:00,  30/64,F1929,NEW YORK           NY,FIT CLIMBERS
   319, Maria Vanegas-Zea,38,F,  18:04,  26/54,F3039,BLOOMFIELD         NJ,TEAM AIRRABITO
   382, Jeff Thomas,44,M,  18:10,  28/34,M4049,WEST ORANGE        NJ,BLOOMFIELD FIRE DEPT (NFF)
   563, Brian Cross,42,M,  18:10,  54/84,M-FIR,ISLIP TERRACE      NY,BC DENNIS CROSS EAGLE TEAM
   578, Lukasz Russer,36,M,  18:11,  55/84,M-FIR,NEWARK             NJ,NEWARK FIRE DEPT CLASS 43
   153, Bruna Carrozza,56,F,  18:22,   9/22,F5059,TOMS RIVER         NJ,ANNAC
   109, Yvonne Kierlanczyk,57,F,  18:38,  10/22,F5059,NEW YORK           NY,LMIC
   324, Luis Rodriguez,54,M,  18:40,  11/12,M5059,BROOKLYN           NY,TEAM AIRRABITO
