2017 san antonio run climb
2017-1-30

200 # 42 people were in bonus range ( under 15:50 ) and added the max of 100 bonus to the 100 point base
181,Derek Gonzalez,,M2130,06:03:00 AM,10:53:00 AM,04:57:00 PM
305,Erica Mejorado,,F3140,06:52:00 AM,10:05:00 AM,04:57:00 PM
349,Sean Page,,M5199,06:11:00 AM,10:46:00 AM,04:58:00 PM
2982,Ricardo Jimenez,,M2130,06:09:00 AM,10:50:00 AM,05:00:00 PM
94,Joseph Fennex Dcruz,,M2130,06:33:00 AM,10:27:00 AM,05:00:00 PM
139,Devin Flournoy,,M120,06:19:00 AM,10:46:00 AM,05:05:00 PM
355,Mike Peralta,,M3140,07:00:00 AM,10:05:00 AM,05:06:00 PM
2911,Ashley Zapp,,F2130,06:24:00 AM,10:43:00 AM,05:07:00 PM
419,Alyssandra Saldivar,,F2130,06:18:00 AM,10:52:00 AM,05:10:00 PM
279,Reynaldo Lopez,,F2130,06:12:00 AM,11:00:00 AM,05:12:00 PM
498,Amy Voyles,,F4150,06:47:00 AM,10:24:00 AM,05:12:00 PM
310,Joe Ramirez,,M5199,05:53:00 AM,11:20:00 AM,05:13:00 PM
391,Michelle Richardson,,F5199,06:52:00 AM,10:25:00 AM,05:17:00 PM
2993,Jeff Finley,,M3140,06:12:00 AM,11:06:00 AM,05:18:00 PM
202,Claudia Hardeman,,F4150,07:35:00 AM,09:43:00 AM,05:18:00 PM
NO,FN LN,,DIVISION,RUN,CLIMB,TIME
469,Timothy Stilwell,,M3140,06:41:00 AM,10:39:00 AM,05:21:00 PM
2901,Vaughan Waters,,M5199,06:49:00 AM,10:32:00 AM,05:21:00 PM
216,Sandra Hernandez,,F4150,07:14:00 AM,10:07:00 AM,05:22:00 PM
2902,Terry Watkins,,M5199,07:28:00 AM,09:55:00 AM,05:23:00 PM
227,Ryan Hudson,,M3140,05:30:00 AM,11:55:00 AM,05:26:00 PM
2951,Caesar Nafrada,,M120,05:59:00 AM,11:26:00 AM,05:26:00 PM
479,Sandra Tezino,,F4150,06:29:00 AM,10:59:00 AM,05:28:00 PM
495,Angel Verganzo,,M4150,06:50:00 AM,10:41:00 AM,05:32:00 PM
460,Rick Smith,,M5199,06:55:00 AM,10:41:00 AM,05:37:00 PM
401,Lauren Rocha,,F2130,06:25:00 AM,11:12:00 AM,05:37:00 PM
206,Brett Hayes,,M4150,06:48:00 AM,10:49:00 AM,05:37:00 PM
190,Elizabeth Griffith,,F3140,07:32:00 AM,10:07:00 AM,05:39:00 PM
369,Matthew Puleo,,M2130,07:43:00 AM,09:56:00 AM,05:39:00 PM
463,Bethany Stachenfeld,,F2130,07:02:00 AM,10:39:00 AM,05:42:00 PM
154,Robert Garces,,M4150,07:25:00 AM,10:18:00 AM,05:43:00 PM
219,Paige Herrick,,F120,06:22:00 AM,11:21:00 AM,05:44:00 PM
152,Sammy Gallegos,,M5199,07:28:00 AM,10:17:00 AM,05:45:00 PM
268,Jeremy Lightfoot,,M4150,06:52:00 AM,10:55:00 AM,05:48:00 PM
20,Kumaran Arulmani,,M120,07:00:00 AM,10:48:00 AM,05:48:00 PM
252,Joshua Hernandez,,M120,06:46:00 AM,11:04:00 AM,05:50:00 PM
2,Dave Ade,,M3140,07:40:00 AM,10:11:00 AM,05:52:00 PM
42,Tiffany Bordovsky,,F3140,06:52:00 AM,11:02:00 AM,05:55:00 PM
392,Donovan Ricks,,M2130,06:10:00 AM,11:46:00 AM,05:56:00 PM
339,Frank Olivarez,,M5199,06:44:00 AM,11:14:00 AM,05:58:00 PM
213,Joe Hernandez,,M4150,-0,-0,06:13:00 PM
233,Doug Jenkins,,M2130,07:42:00 AM,10:36:00 AM,06:18:00 PM
129,Bernice Fischer,,F5199,07:24:00 AM,10:56:00 AM,06:21:00 PM
70,Laura Castaneda,,F3140,07:31:00 AM,10:54:00 AM,06:25:00 PM
79,Ozzie Ortiz,,M4150,06:46:00 AM,11:39:00 AM,06:26:00 PM
122,Jonathan Esquivel,,M2130,-0,-0,06:29:00 PM
2996,Mitchell Holman,,M2130,07:21:00 AM,11:08:00 AM,06:30:00 PM
221,Lauren Hoffart,,F2130,07:31:00 AM,11:00:00 AM,06:32:00 PM
210,Alex Heredia,,M5199,07:46:00 AM,10:47:00 AM,06:33:00 PM
39,Kimberly Black,,F2130,07:45:00 AM,10:51:00 AM,06:36:00 PM
282,Yvonne Lussier,,F4150,07:41:00 AM,10:56:00 AM,06:37:00 PM
289,Carlos Martinez,,M3140,07:10:00 AM,11:28:00 AM,06:39:00 PM
306,Alex Mendieta,,M2130,06:47:00 AM,11:51:00 AM,06:39:00 PM
2976,Daniel Gonzalez,,M2130,07:48:00 AM,10:54:00 AM,06:43:00 PM
235,Bryce Johnson,,M2130,07:34:00 AM,11:09:00 AM,06:43:00 PM
2969,Sonya Lerma,,F4150,08:37:00 AM,10:06:00 AM,06:43:00 PM
NO,FN LN,,DIVISION,RUN,CLIMB,TIME
415,Lana Saadi,,F3140,08:01:00 AM,10:43:00 AM,06:44:00 PM
10,Thomas Andrews,,M3140,07:00:00 AM,11:46:00 AM,06:47:00 PM
196,Cecilia Guerrero,,F3140,07:28:00 AM,11:20:00 AM,06:48:00 PM
76,Monica Cavnar,,F3140,07:07:00 AM,11:41:00 AM,06:49:00 PM
480,Kristian Thiele,,M3140,07:25:00 AM,11:25:00 AM,06:51:00 PM
2964,Bryant Davis,,M2130,06:23:00 AM,12:27:00 PM,06:51:00 PM
2917,Noah Casias,,M120,-0,-0,06:52:00 PM
2908,Patrick Wivrow,,M2130,06:41:00 AM,12:13:00 PM,06:55:00 PM
464,Josh Staggs,,M4150,06:45:00 AM,12:11:00 PM,06:56:00 PM
455,April Smith,,F5199,07:19:00 AM,11:37:00 AM,06:56:00 PM
343,Cesar Ontiveros,,M3140,07:23:00 AM,11:35:00 AM,06:59:00 PM
11,Jennifer Anthony,,F5199,06:53:00 AM,12:07:00 PM,07:00:00 PM
2909,Darrell Woods,,M4150,06:56:00 AM,12:04:00 PM,07:01:00 PM
377,Mario Ramirez,,M5199,07:43:00 AM,11:20:00 AM,07:04:00 PM
249,Patricia King,,F120,07:23:00 AM,11:44:00 AM,07:07:00 PM
284,Sebastian Macias,,M3140,07:08:00 AM,12:03:00 PM,07:11:00 PM
315,Daniel Molina,,M2130,07:38:00 AM,11:33:00 AM,07:12:00 PM
243,Steve Johnson,,M5199,07:02:00 AM,12:11:00 PM,07:13:00 PM
207,Michelle Healy,,F5199,08:21:00 AM,10:51:00 AM,07:13:00 PM
406,Diego Rodriguez,,M2130,07:21:00 AM,11:58:00 AM,07:20:00 PM
2912,Vicki Zheng,,F2130,07:25:00 AM,11:55:00 AM,07:20:00 PM
497,Tiffany Davis,,F2130,07:38:00 AM,11:43:00 AM,07:21:00 PM
64,Norma Jean Cano,,F4150,07:30:00 AM,11:56:00 AM,07:26:00 PM
400,Chris Rocha,,M4150,06:48:00 AM,12:38:00 PM,07:27:00 PM
331,Letesha Newsom,,F3140,08:38:00 AM,10:49:00 AM,07:28:00 PM
2933,Michael Durham,,M2130,07:41:00 AM,11:47:00 AM,07:29:00 PM
304,Buck Mejorado,,M3140,06:44:00 AM,12:45:00 PM,07:29:00 PM
83,Chris Claiborne,,M4150,06:53:00 AM,12:37:00 PM,07:31:00 PM
31,Vanessa Bazan,,F2130,07:38:00 AM,11:54:00 AM,07:32:00 PM
2967,Cassie Quesada,,FUK,08:34:00 AM,10:58:00 AM,07:32:00 PM
239,Jennifer Johnson,,F3140,08:03:00 AM,11:30:00 AM,07:33:00 PM
80,Lance Charlton,,F2130,07:39:00 AM,11:56:00 AM,07:35:00 PM
37,Guadalupe Bisinais,,F4150,07:48:00 AM,11:52:00 AM,07:40:00 PM
23,Dharani Arumugam,,M4150,06:46:00 AM,12:55:00 PM,07:41:00 PM
2904,Alexis Williams,,F2130,07:10:00 AM,12:31:00 PM,07:41:00 PM
357,Peter Perez,,M4150,07:28:00 AM,12:15:00 PM,07:44:00 PM
163,Veronica Garza,,F3140,08:16:00 AM,11:34:00 AM,07:50:00 PM
160,Clarissa Garza,,F2130,07:28:00 AM,12:22:00 PM,07:51:00 PM
371,Daniel Quintero,,M2130,07:43:00 AM,12:17:00 PM,08:01:00 PM
7,Cheryl Anderson,,F4150,07:37:00 AM,12:28:00 PM,08:06:00 PM
NO,FN LN,,DIVISION,RUN,CLIMB,TIME
361,Mirielle Petitjean,,F3140,07:41:00 AM,12:27:00 PM,08:08:00 PM
114,Logan Edwards,,M120,06:45:00 AM,01:24:00 PM,08:09:00 PM
89,Travis Cox,,M5199,07:40:00 AM,12:31:00 PM,08:12:00 PM
112,Pamela Dumlao,,F2130,08:55:00 AM,11:21:00 AM,08:16:00 PM
142,Timothy Franz,,M4150,07:44:00 AM,12:42:00 PM,08:27:00 PM
169,Denise Godfrey,,F3140,07:36:00 AM,12:56:00 PM,08:33:00 PM
71,Crystal Castillo,,F3140,08:32:00 AM,12:02:00 PM,08:35:00 PM
482,Ana Tirado,,F2130,07:50:00 AM,12:46:00 PM,08:37:00 PM
350,Gabriela Palacios,,F4150,08:20:00 AM,12:20:00 PM,08:40:00 PM
368,David Preciado,,M5199,08:19:00 AM,12:20:00 PM,08:40:00 PM
6,Isabel Anaya,,F3140,07:46:00 AM,12:55:00 PM,08:41:00 PM
454,Dan Sleeter,,M2130,08:15:00 AM,12:25:00 PM,08:41:00 PM
453,Chelsey Sleeter,,F2130,08:15:00 AM,12:27:00 PM,08:42:00 PM
44,David Brennen,,M3140,08:55:00 AM,11:49:00 AM,08:45:00 PM
266,Cameron Ley,,M120,08:44:00 AM,12:11:00 PM,08:55:00 PM
60,Zenaida Campbell,,F3140,08:23:00 AM,12:32:00 PM,08:55:00 PM
220,Matthias Hinojosa,,M3140,08:58:00 AM,11:57:00 AM,08:56:00 PM
136,Laina Flores,,F3140,08:22:00 AM,12:34:00 PM,08:57:00 PM
374,Ray Rabel,,M2130,08:33:00 AM,12:24:00 PM,08:57:00 PM
420,Eliza Salinas,,F3140,07:46:00 AM,01:13:00 PM,09:00:00 PM
270,David Linn,,M3140,06:41:00 AM,02:20:00 PM,09:02:00 PM
295,Marylou Marty,,F4150,08:24:00 AM,12:39:00 PM,09:04:00 PM
441,Katherine Servin,,F2130,08:19:00 AM,12:46:00 PM,09:05:00 PM
272,Margie Llamas,,F3140,07:52:00 AM,01:26:00 PM,09:18:00 PM
149,Sara Fujimoto,,F2130,07:47:00 AM,01:33:00 PM,09:20:00 PM
253,Melissa Kriewald-Flores,,F3140,07:51:00 AM,01:32:00 PM,09:23:00 PM
334,Nolan Niemuth,,M5199,06:55:00 AM,02:29:00 PM,09:25:00 PM
77,Mark Chacon,,M3140,08:28:00 AM,01:00:00 PM,09:29:00 PM
105,Richard Dobie,,M4150,07:44:00 AM,01:46:00 PM,09:30:00 PM
323,Cynthia Morales,,F3140,09:07:00 AM,12:26:00 PM,09:34:00 PM
