Tower Climb & Run--San Antonio 2015
2015-2-7
http://www.cff.org/Chapters/lonestar/index.cfm?id=25708&event=25708
150
139,Bethany PARKER,,F,482,00:19:10.180,00:07:59.023,9:23 min/m,00:11:11.157,49.67 stair/min
142,Logan EDWARDS,,F,679,00:19:17.450,00:06:42.443,7:53 min/m,00:12:35.007,49.37 stair/min
143,Kimberly RODRIGUEZ,,F,644,00:19:21.073,00:07:28.587,8:47 min/m,00:11:52.487,49.20 stair/min
147,Stephanie GONZALES,,F,421,00:19:24.417,00:06:49.947,8:02 min/m,00:12:34.470,49.07 stair/min
148,Marylou MARTY,,F,751,00:19:24.433,00:07:32.067,8:51 min/m,00:11:52.367,49.07 stair/min
154,Kaitlyn MUNOZ,,F,866,00:19:35.737,00:07:39.857,9:01 min/m,00:11:55.880,48.61 stair/min
157,Christina DE LA ROSA,,F,674,00:19:45.123,00:07:51.300,9:14 min/m,00:11:53.823,48.20 stair/min
159,Sara RAMIREZ,,F,850,00:19:54.663,00:06:48.223,8:00 min/m,00:13:06.440,47.84 stair/min
160,Claudia HARDEMAN,,F,612,00:19:55.143,00:08:47.543,10:20 min/m,00:11:07.600,47.80 stair/min
161,Sarah BARRIERE,,F,600,00:19:56.110,00:08:47.847,10:20 min/m,00:11:08.263,47.76 stair/min
162,Nichole CAMPBELL,,F,658,00:19:57.173,00:07:14.053,8:30 min/m,00:12:43.120,47.72 stair/min
163,Erica GAGNE,,F,697,00:20:00.447,00:06:36.017,7:45 min/m,00:13:24.430,47.60 stair/min
166,Maria Elena WEISSER,,F,819,00:20:04.390,00:08:46.273,10:19 min/m,00:11:18.117,47.44 stair/min
168,Virginia OLVERA,,F,767,00:20:06.107,00:06:27.050,7:35 min/m,00:13:39.057,47.36 stair/min
170,Chelsea LAFEVER,,F,586,00:20:11.520,00:07:04.643,8:19 min/m,00:13:06.877,47.17 stair/min
171,Nerissa MUNIZ,,F,761,00:20:12.903,00:07:33.337,8:53 min/m,00:12:39.567,47.13 stair/min
172,Shelby OTTO,,F,769,00:20:13.090,00:06:23.640,7:31 min/m,00:13:49.450,47.09 stair/min
173,Kelly MCALLEN,,F,754,00:20:13.297,00:07:28.240,8:47 min/m,00:12:45.057,47.09 stair/min
175,Robyn KEENEY,,F,509,00:20:15.267,00:08:11.853,9:38 min/m,00:12:03.413,47.01 stair/min
176,Ariana LEWIS,,F,409,00:20:18.440,00:07:49.950,9:12 min/m,00:12:28.490,46.90 stair/min
177,Mary COSPER,,F,861,00:20:19.540,00:07:54.417,9:18 min/m,00:12:25.123,46.86 stair/min
179,Tammy FLORES,,F,692,00:20:23.547,00:08:03.593,9:28 min/m,00:12:19.953,46.70 stair/min
180,Marci BLANGIARDO,,F,835,00:20:23.747,00:08:31.747,10:02 min/m,00:11:52.000,46.70 stair/min
182,Lisa REID,,F,428,00:20:25.707,00:08:02.077,9:27 min/m,00:12:23.630,46.63 stair/min
184,Sherry WATKINS,,F,429,00:20:28.780,00:08:14.063,9:41 min/m,00:12:14.717,46.51 stair/min
185,Bobby SIMS JR,,F,826,00:20:29.157,00:07:37.293,8:57 min/m,00:12:51.863,46.48 stair/min
186,Cheryl GOUDREAU,,F,833,00:20:41.100,00:08:48.357,10:21 min/m,00:11:52.743,46.03 stair/min
187,Irasema GALINDO,,F,698,00:20:41.190,00:07:51.043,9:14 min/m,00:12:50.147,46.03 stair/min
188,Veronica GARZA,,F,610,00:20:42.813,00:08:22.030,9:50 min/m,00:12:20.783,45.99 stair/min
189,Mary PAGE,,F,571,00:20:43.520,00:08:26.197,9:55 min/m,00:12:17.323,45.95 stair/min
190,Emily SCHOLIS,,F,797,00:20:46.590,00:07:44.857,9:06 min/m,00:13:01.733,45.84 stair/min
192,Leah BARNETT,,F,408,00:20:53.477,00:06:52.830,8:05 min/m,00:14:00.647,45.59 stair/min
194,Gloria GUERRA,,F,717,00:20:55.660,00:06:53.050,8:05 min/m,00:14:02.610,45.51 stair/min
195,Aracely RENDEROS,,F,786,00:20:58.933,00:07:21.723,8:39 min/m,00:13:37.210,45.41 stair/min
196,Susan SIERRA,,F,452,00:21:00.167,00:07:59.307,9:23 min/m,00:13:00.860,45.33 stair/min
197,Christine ROSIN,,F,793,00:21:01.550,00:08:42.303,10:14 min/m,00:12:19.247,45.30 stair/min
198,Heather ZAPATA,,F,531,00:21:03.443,00:06:57.803,8:11 min/m,00:14:05.640,45.23 stair/min
199,Dulce LARA,,F,741,00:21:04.217,00:08:48.410,10:21 min/m,00:12:15.807,45.19 stair/min
203,Stacy CHRISTIANSON,,F,603,00:21:10.113,00:06:49.140,8:01 min/m,00:14:20.973,44.98 stair/min
204,Neyda GUTIERREZ,,F,718,00:21:12.073,00:07:21.293,8:39 min/m,00:13:50.780,44.91 stair/min
206,Marissa RAMIREZ,,F,857,00:21:17.013,00:08:27.603,9:57 min/m,00:12:49.410,44.73 stair/min
207,Laurel BECKER,,F,836,00:21:18.263,00:08:36.073,10:07 min/m,00:12:42.190,44.69 stair/min
208,Corina HARRINGTON,,F,722,00:21:18.583,00:07:37.520,8:58 min/m,00:13:41.063,44.69 stair/min
210,Jennifer JOHNSON,,F,736,00:21:21.007,00:07:50.527,9:13 min/m,00:13:30.480,44.59 stair/min
212,Anne WATKINS,,F,417,00:21:25.737,00:08:09.867,9:36 min/m,00:13:15.870,44.45 stair/min
215,Marcy PERRY,,F,458,00:21:34.767,00:08:38.817,10:10 min/m,00:12:55.950,44.14 stair/min
217,Alexias FERRER,,F,460,00:21:41.293,00:08:52.560,10:26 min/m,00:12:48.733,43.90 stair/min
218,Roxana DE LEON FUENTES,,F,425,00:21:41.723,00:08:33.370,10:03 min/m,00:13:08.353,43.90 stair/min
220,Emily SPEER,,F,807,00:21:43.260,00:08:43.690,10:16 min/m,00:12:59.570,43.84 stair/min
222,Jacqui SHARROW,,F,799,00:21:44.230,00:07:49.717,9:12 min/m,00:13:54.513,43.80 stair/min
224,Deidra MCCUTCHEN,,F,502,00:21:46.040,00:09:37.500,11:19 min/m,00:12:08.540,43.74 stair/min
225,Pamela DUMLAO,,F,559,00:21:47.770,00:08:21.783,9:50 min/m,00:13:25.987,43.70 stair/min
227,Blanca RADOSEVICI,,F,626,00:21:50.857,00:08:58.430,10:33 min/m,00:12:52.427,43.60 stair/min
228,Rosie FLORES,,F,691,00:21:51.717,00:07:48.033,9:10 min/m,00:14:03.683,43.57 stair/min
231,Jennifer MCCAULEY,,F,755,00:21:57.220,00:08:10.053,9:36 min/m,00:13:47.167,43.37 stair/min
235,Maureen CASPERS,,F,601,00:22:05.333,00:10:08.610,11:56 min/m,00:11:56.723,43.11 stair/min
236,Felicia VELASCO,,F,814,00:22:07.720,00:08:06.833,9:32 min/m,00:14:00.887,43.04 stair/min
237,Kaitlynn WHITMAN,,F,820,00:22:07.967,00:08:39.570,10:11 min/m,00:13:28.397,43.04 stair/min
239,Marsha O'LOUGHLIN,,F,70,00:22:10.523,00:07:54.557,9:18 min/m,00:14:15.967,42.95 stair/min
240,Sandra RICABAUGH,,F,414,00:22:27.093,00:08:09.133,9:35 min/m,00:14:17.960,42.41 stair/min
241,Isabel ANAYA,,F,533,00:22:27.713,00:08:06.600,9:32 min/m,00:14:21.113,42.41 stair/min
243,Deanna GOMBERT,,F,834,00:22:31.313,00:08:48.343,10:21 min/m,00:13:42.970,42.28 stair/min
246,Kathryn NARVAEZ,,F,597,00:22:42.197,00:08:26.370,9:55 min/m,00:14:15.827,41.94 stair/min
249,Mackenzie FULLER,,F,607,00:22:51.150,00:08:34.173,10:04 min/m,00:14:16.977,41.66 stair/min
250,Annette DEVANEY,,F,837,00:22:53.113,00:07:49.953,9:12 min/m,00:15:03.160,41.60 stair/min
254,Colleen SWAIN,,F,811,00:23:20.290,00:08:42.803,10:15 min/m,00:14:37.487,40.80 stair/min
255,Stephanie MIZELL,,F,441,00:23:39.760,00:07:53.733,9:17 min/m,00:15:46.027,40.25 stair/min
256,Anika BLANCO,,F,651,00:23:40.630,00:07:46.560,9:08 min/m,00:15:54.070,40.23 stair/min
258,Meagan FORSHAGE,,F,430,00:23:41.683,00:07:43.173,9:04 min/m,00:15:58.510,40.20 stair/min
260,Terry BROSIG,,F,497,00:23:44.857,00:08:04.923,9:30 min/m,00:15:39.933,40.11 stair/min
262,Maricela ROCHA,,F,591,00:23:48.290,00:07:56.173,9:20 min/m,00:15:52.117,40.00 stair/min
267,Veronica COLE,,F,664,00:23:51.833,00:07:58.260,9:22 min/m,00:15:53.573,39.92 stair/min
268,Sarah GARCES,,F,700,00:23:56.030,00:07:00.203,8:14 min/m,00:16:55.827,39.78 stair/min
270,Ashley ARROYOS,,F,650,00:23:57.140,00:09:19.553,10:58 min/m,00:14:37.587,39.75 stair/min
271,Lindsay ANDERSEN,,F,515,00:24:00.833,00:09:20.067,10:58 min/m,00:14:40.767,39.67 stair/min
272,Lauren SOKOL,,F,423,00:24:03.770,00:08:33.047,10:03 min/m,00:15:30.723,39.58 stair/min
273,Angelica REYNOSA,,F,574,00:24:04.830,00:08:46.570,10:19 min/m,00:15:18.260,39.56 stair/min
276,Cristina MALAGON,,F,569,00:24:14.257,00:08:47.440,10:20 min/m,00:15:26.817,39.28 stair/min
277,Joy WAFFUL,,F,636,00:24:14.503,00:09:01.943,10:37 min/m,00:15:12.560,39.28 stair/min
281,Liza POTTS,,F,485,00:24:17.443,00:09:57.820,11:43 min/m,00:14:19.623,39.20 stair/min
282,Becky SOLAR,,F,805,00:24:17.707,00:08:29.307,9:59 min/m,00:15:48.400,39.20 stair/min
284,Guan-Jie WANG,,F,424,00:24:25.003,00:09:08.783,10:45 min/m,00:15:16.220,38.99 stair/min
286,Lizzeth GAMBOA,,F,523,00:24:27.777,00:09:00.323,10:35 min/m,00:15:27.453,38.94 stair/min
288,Denise ROJAS,,F,528,00:24:30.803,00:08:17.000,9:44 min/m,00:16:13.803,38.86 stair/min
291,Laura LOZANO,,F,745,00:24:40.223,00:09:43.587,11:26 min/m,00:14:56.637,38.59 stair/min
292,Priscilla RAMIREZ,,F,783,00:24:49.917,00:07:44.817,9:06 min/m,00:17:05.100,38.36 stair/min
293,Jennifer WALKER,,F,637,00:24:49.947,00:09:00.323,10:35 min/m,00:15:49.623,38.36 stair/min
295,Charlene HEINTZ,,F,724,00:24:58.453,00:09:57.387,11:42 min/m,00:15:01.067,38.13 stair/min
296,Carol PEARCY,,F,772,00:24:59.183,00:09:28.577,11:08 min/m,00:15:30.607,38.11 stair/min
297,Amanda PLANO,,F,777,00:25:00.820,00:09:14.027,10:51 min/m,00:15:46.793,38.08 stair/min
299,Abigail LEIJA,,F,510,00:25:04.547,00:09:27.063,11:07 min/m,00:15:37.483,37.98 stair/min
300,Tyler FULLER,,F,608,00:25:09.983,00:09:02.417,10:38 min/m,00:16:07.567,37.85 stair/min
304,Brenda BORREGO,,F,653,00:25:38.653,00:08:52.760,10:26 min/m,00:16:45.893,37.14 stair/min
305,Ashton GULCZEWSKI,,F,566,00:25:38.987,00:09:31.737,11:12 min/m,00:16:07.250,37.14 stair/min
306,Michelle ANDREASEN,,F,648,00:25:43.230,00:09:14.147,10:51 min/m,00:16:29.083,37.02 stair/min
311,Rachel JACKSON,,F,446,00:26:02.450,00:08:34.310,10:05 min/m,00:17:28.140,36.57 stair/min
312,Karla KATIGBAK,,F,447,00:26:04.367,00:08:36.810,10:08 min/m,00:17:27.557,36.52 stair/min
313,Liz MUNOZ,,F,434,00:26:04.813,00:07:51.857,9:15 min/m,00:18:12.957,36.52 stair/min
314,Lindsey BUFF - SANCHEZ,,F,655,00:26:11.497,00:09:08.640,10:45 min/m,00:17:02.857,36.36 stair/min
315,Terri DORN,,F,445,00:26:15.800,00:08:38.067,10:09 min/m,00:17:37.733,36.27 stair/min
317,Vanessa GONZALES,,F,579,00:26:17.230,00:09:10.710,10:47 min/m,00:17:06.520,36.22 stair/min
318,Ariedni PENALOSA,,F,773,00:26:20.157,00:07:53.673,9:17 min/m,00:18:26.483,36.15 stair/min
320,Angela NIEMIETZ,,F,765,00:26:37.167,00:09:05.130,10:41 min/m,00:17:32.037,35.77 stair/min
321,Vicki GULCZEWSKI,,F,567,00:26:40.330,00:09:34.957,11:16 min/m,00:17:05.373,35.70 stair/min
323,Crystal MARTINEZ,,F,749,00:26:49.023,00:07:49.357,9:12 min/m,00:18:59.667,35.50 stair/min
325,Lori PANIAGUA,,F,875,00:27:19.630,00:09:10.680,10:47 min/m,00:18:08.950,34.85 stair/min
326,Rhonda SANDERS,,F,630,00:27:46.263,00:09:08.477,10:45 min/m,00:18:37.787,34.29 stair/min
327,Irene PATINO,,F,771,00:28:05.110,00:08:57.473,10:32 min/m,00:19:07.637,33.90 stair/min
329,Amanda CATOE,,F,867,00:28:29.970,00:08:39.997,10:11 min/m,00:19:49.973,33.42 stair/min
