2016 san antonion tower run
2016-2-6

150
149,Cheryl ANDERSON,,F,00:19:11,00:07:32,9:26 min/m,00:11:38,49.63 stair/min
156,Kimberly MCGREW,,F,00:19:19,00:07:33,9:26 min/m,00:11:45,49.28 stair/min
237,Jennifer JOHNSON,,F,00:21:59,00:07:33,9:26 min/m,00:14:25,43.31 stair/min
131,Bethany STACHENFELD,,F,00:18:38,00:07:37,9:31 min/m,00:11:01,51.09 stair/min
215,Erin JOSSERAND,,F,00:21:01,00:07:38,9:33 min/m,00:13:23,45.30 stair/min
212,Nadia ISLAM,,F,00:20:59,00:07:39,9:34 min/m,00:13:20,45.37 stair/min
200,Lisa GINN,,F,00:20:39,00:07:40,9:36 min/m,00:12:58,46.10 stair/min
249,Nichole CAMPBELL,,F,00:22:27,00:07:43,9:38 min/m,00:14:44,42.41 stair/min
184,Rosemary FLORES,,F,00:20:18,00:07:43,9:38 min/m,00:12:35,46.90 stair/min
194,Mirielle PETITJEAN,,F,00:20:29,00:07:43,9:39 min/m,00:12:46,46.48 stair/min
220,Nerissa MUNIZ,,F,00:21:15,00:07:43,9:39 min/m,00:13:31,44.80 stair/min
175,Marylou MARTY,,F,00:19:58,00:07:44,9:40 min/m,00:12:14,47.68 stair/min
223,Eleni GUAJARDO,,F,00:21:22,00:07:46,9:42 min/m,00:13:36,44.56 stair/min
166,Micah WEAVER,,F,00:19:45,00:07:46,9:42 min/m,00:11:59,48.20 stair/min
213,Robyn KEENEY,,F,00:21:01,00:07:47,9:44 min/m,00:13:13,45.30 stair/min
310,Christina KNIES,,F,00:24:26,00:07:48,9:45 min/m,00:16:38,38.96 stair/min
186,Pamela DUMLAO,,F,00:20:19,00:07:48,9:46 min/m,00:12:30,46.86 stair/min
160,Nancy ALCANTAR,,F,00:19:29,00:07:52,9:50 min/m,00:11:36,48.86 stair/min
137,Lauren HOFFART,,F,00:18:52,00:07:53,9:52 min/m,00:10:58,50.46 stair/min
139,Bernice FISCHER,,F,00:18:53,00:07:54,9:52 min/m,00:10:59,50.41 stair/min
171,Alicia MONTGOMERY,,F,00:19:51,00:07:54,9:53 min/m,00:11:57,47.96 stair/min
164,Michelle GONZALEZ,,F,00:19:43,00:07:58,9:58 min/m,00:11:44,48.28 stair/min
195,Courtney FLOYD,,F,00:20:31,00:07:59,9:59 min/m,00:12:32,46.40 stair/min
208,Toniah JUDAY,,F,00:20:47,00:07:59,9:59 min/m,00:12:47,45.81 stair/min
254,Christine DEALBA,,F,00:22:34,00:08:00,10:00 min/m,00:14:34,42.19 stair/min
326,Monica CHAVEZ,,F,00:25:17,00:08:00,10:00 min/m,00:17:17,37.65 stair/min
272,Mary Helen WICKHAM,,F,00:23:06,00:08:00,10:00 min/m,00:15:06,41.21 stair/min
196,Jennifer MACHADO,,F,00:20:31,00:08:00,10:01 min/m,00:12:31,46.40 stair/min
189,Kathryn FAUGHT,,F,00:20:24,00:08:01,10:01 min/m,00:12:22,46.67 stair/min
236,Rachel WOODALL,,F,00:21:58,00:08:02,10:02 min/m,00:13:56,43.34 stair/min
216,Victoria BROWN,,F,00:21:02,00:08:02,10:03 min/m,00:12:59,45.26 stair/min
192,Elizabeth EVANS,,F,00:20:28,00:08:03,10:04 min/m,00:12:24,46.51 stair/min
297,Lynsie OWENS,,F,00:24:04,00:08:04,10:05 min/m,00:16:00,39.56 stair/min
356,Bobbie CASTANEDA,,F,00:27:10,00:08:04,10:05 min/m,00:19:05,35.04 stair/min
197,Wendy LINDSAY,,F,00:20:34,00:08:04,10:05 min/m,00:12:29,46.29 stair/min
224,Monica BRIONES,,F,00:21:31,00:08:05,10:06 min/m,00:13:25,44.24 stair/min
286,Yvonne PERES,,F,00:23:30,00:08:05,10:06 min/m,00:15:24,40.51 stair/min
357,Veronica COLE,,F,00:27:15,00:08:05,10:06 min/m,00:19:10,34.94 stair/min
219,Anne WATKINS,,F,00:21:14,00:08:05,10:07 min/m,00:13:08,44.84 stair/min
281,Kesha HARMON,,F,00:23:20,00:08:06,10:08 min/m,00:15:14,40.80 stair/min
271,Andrea LOPEZ,,F,00:23:03,00:08:08,10:10 min/m,00:14:55,41.30 stair/min
257,Rosie FLORES,,F,00:22:40,00:08:09,10:12 min/m,00:14:30,42.00 stair/min
230,Christi OLINICK,,F,00:21:44,00:08:10,10:12 min/m,00:13:34,43.80 stair/min
362,Ariedni PENALOSA,,F,00:27:40,00:08:10,10:12 min/m,00:19:29,34.41 stair/min
280,Isabel ANAYA,,F,00:23:19,00:08:10,10:13 min/m,00:15:08,40.83 stair/min
293,Sonia ADAME,,F,00:23:54,00:08:11,10:14 min/m,00:15:42,39.83 stair/min
311,Colette RIDDLE,,F,00:24:29,00:08:11,10:14 min/m,00:16:17,38.88 stair/min
233,Denise PICHOT,,F,00:21:48,00:08:12,10:15 min/m,00:13:35,43.67 stair/min
329,Kim JONES,,F,00:25:26,00:08:12,10:15 min/m,00:17:14,37.43 stair/min
282,Jenn COPPOLA,,F,00:23:22,00:08:12,10:16 min/m,00:15:09,40.74 stair/min
